name;fraktion;link;bundesland;wknr;wkname;beruf;biographie;instagram;facebook;homepage;tiktok;youtube;x
Abdi, Sanae;SPD;https://www.bundestag.de/abgeordnete/biografien/A/abdi_sanae-861028;Nordrhein-Westfalen;93;Köln I;Vertrags- und Finanzmanagerin;"Geboren am 7. Juli 1986 in Tetouan, Marokko; Islam; ledig.

    


    
    

        2005 Abitur an der Städtischen Adolf-Reichwein-Gesamtschule in Lüdenscheid. Anschließendes Jurastudium in Marburg, Bonn und Köln.2013 bis 2018 wissenschaftliche Mitarbeiterin in Kölner Wirtschaftskanzlei und freiberufliche Tätigkeit für Kölner Strafrechtskanzlei.Seit 2018 Projektmanagerin mit Schwerpunkt Controlling bei der Deutschen Gesellschaft für internationale Zusammenarbeit (GIZ).Seit 2008 Mitglied der Sozialdemokratischen Partei Deutschlands (SPD). Seit 2018 Vorstandsmitglied des Ortsvereins Köln-Südstadt und der ASF (Arbeitsgemeinschaft Sozialdemokratischer Frauen). Ver.di-Mitglied. [Anmerkung der Redaktion: Die biografischen Angaben beruhen auf den Selbstauskünften der Abgeordneten.]";https://www.instagram.com/sanae_ccaa/;https://www.facebook.com/sanaeabdispd;https://sanae-abdi.spd.de/;;;https://twitter.com/_sanaeabdi
Abel, Valentin;FDP;https://www.bundestag.de/abgeordnete/biografien/A/abel_valentin-860100;Baden-Württemberg;268;Schwäbisch Hall – Hohenlohe;Kaufmännischer Angestellter;"Geboren am 7. Februar 1991 in Künzelsau; konfessionslos.

    


    
    

        2001 bis 2010 Abitur am Ganztagsgymnasium Osterburken 2010 bis 2011 Zivildienst beim Deutschen Roten Kreuz in Gaisbach2011 Praktikum bei der Wittenstein SE in Igersheim2011 bis 2014 Bachelorstudium der Betriebswirtschaftslehre an der Universität Mannheim; 2013 Auslandssemester an der University of Edinburgh2014 bis 2016 Masterstudium der Betriebswirtschaftslehre an der Universität Mannheim; 2015 Auslandssemester an der Universiteit Maastricht2016 bis 2021 Leitender Kaufmännischer Angestellter bei der Texas Instruments Deutschland GmbH2017 bis 2021 Landesvorsitzender der Jungen Liberalen Baden-Württemberg [Anmerkung der Redaktion: Die biografischen Angaben beruhen auf den Selbstauskünften der Abgeordneten.]";https://www.instagram.com/valentin_christian_abel/;https://www.facebook.com/valentinabel.fdp;https://www.valentin-abel.de/;;;https://twitter.com/Valentin_C_Abel
Abraham, Knut;CDU/CSU;https://www.bundestag.de/abgeordnete/biografien/A/abraham_knut-860546;Brandenburg;65;Elbe-Elster – Oberspreewald-Lausitz II;Diplomat;"Geboren am 4. Juni 1966 in Hamburg; evangelisch-lutherisch; verheiratet; fünf Kinder.

    


    
    

        1985 Abitur am Hansa-Gymnasium Bergedorf.1985 bis 1987 Soldat auf Zeit im integrierten Dienst der NATO im HQ AFCENT in Brunssum/Niederlande. Studium der Rechtswissenschaften an der Rheinischen Friedrich-Wilhelms-Universität in Bonn. Erstes Juristisches Staatsexamen am OLG Düsseldorf 1993. Referendariat am Kammergericht in Berlin. Dort Zweites Juristisches Staatsexamen 1998.1987 bis 1996 Büroleiter von Dr. Otto v. Habsburg, MdEP, am Deutschen Bundestag in Bonn und Berlin. 1994 bis 1996 auch am Europäischen Parlament in Brüssel.Seit 1998 Angehöriger des deutschen Auswärtigen Dienstes. Zunächst als Attaché im Vorbereitungsdienst für den Höheren Dienst, Abordnung im Sommer 1999 an die Deutsche Botschaft Helsinki. Nach bestandener Laufbahnprüfung 1. Sekretär an der Deutschen Botschaft Sofia von 2000 bis 2003.2003 bis 2005 Tätigkeit als Referent im NATO-Referat des Auswärtigen Amtes.2005 bis 2006 Referent im Parlaments- und Kabinettsreferat des Auswärtigen Amtes.Juli 2006 bis Juli 2011 stellvertretender Leiter des Referats für Globale Fragen in der Außenpolitischen Abteilung des Bundeskanzleramts.2011 bis 2015 Generalkonsul und Leiter der Rechts- und Konsularabteilung der Deutschen Botschaft in Washington D.C.. 2015 bis 2018 Leiter des Referats für die bilateralen Beziehungen zu den Staaten Mittel-, Ost- und Südosteuropas sowie zu Zentralasien und zum Südkaukasus im Bundeskanzleramt.Seit 2018 Gesandter an der Deutschen Botschaft Warschau.Mitglied der CDU seit 1985. Seit 2007 Mitglied des Kreisvorstands der CDU Elbe-Elster. Vorsitzender des Landesfachausschusses für Bundes- und Europaangelegenheiten der CDU Brandenburg seit 2008. 2009, 2014 und 2019 Kandidat der CDU Brandenburg (Listenplatz 3) für die Wahlen zum Europäischen Parlament.1990 bis 1998 Bundesvorsitzender der Paneuropa-Jugend Deutschland e. V., Mitglied des Präsidiums der Paneuropa-Union Deutschland e. V.Kirchenältester in der Kirche St. Laurentius in Dubro/Elbe-ElsterTräger der Ehrenmedaille der Bundeswehr [Anmerkung der Redaktion: Die biografischen Angaben beruhen auf den Selbstauskünften der Abgeordneten.]";;https://facebook.com/knut.abraham;https://knut-abraham.de/;;;
Adler, Katja;FDP;https://www.bundestag.de/abgeordnete/biografien/A/adler_katja-860102;Hessen;176;Hochtaunus;Beamtin;"Geboren am 20. Mai 1974 in Eisenhüttenstadt; zwei Kinder.

    


    
    

        1980 bis 1990 Polytechnische Oberschule, 1982 bis 1984 Sportschule Frankfurt (Oder); 1990 bis 1992 Erweiterte Oberschule bzw. Gymnasium, Eisenhüttenstadt, Abitur;1992 bis 1995 Fachhochschule für öffentliche Verwaltung, Bernau, Abschluss: Diplom-Verwaltungswirtin (FH); 1997 bis 2006 FernUniversität Gesamthochschule in Hagen (Fächer: Soziale Verhaltenswissenschaften (HF), Politikwissenschaften (NF), Rechtswissenschaften (NF)); Abschluss Magister Artium (M. A.)1995 Landesamt für Ernährung, Landwirtschaft und Flurneuordnung, Frankfurt/Oder; 1995 bis 2002 Ministerium für Bildung, Wissenschaft und Kultur Mecklenburg Vorpommern, Abteilung Wissenschaft und Forschung, Hochschulen; 2002 bis 2011 Ministerium für Bildung, Wissenschaft, Jugend und Kultur Rheinland Pfalz, Abteilung Hochschulen und Wissenschaft, 2009 bis 2011 zugewiesen zur Stiftung Rheinland-Pfalz für Innovation; seit 2011 Ministerium für Familie, Frauen, Kultur und Integration Rheinland-Pfalz, (2011 bis 2017) Abteilung Kinder und Jugend, (seit 2017) Abteilung Verbraucherschutz;seit 2011 Vorsitzende FDP Oberursel; seit 2014 Mitglied der FDP-Fraktion der Stadtverordnetenversammlung Oberursel; 2016 bis 2021 Vorsitzende FDP-Fraktion der Stadtverordnetenversammlung Oberursel; 2016 bis 2021 Vorsitzende des Sozial- Bildungs- und Kulturausschuss Oberursel; seit 2016 Mitglied der FDP-Fraktion des Kreistages des Hochtaunuskreises, seit 2021 stellvertretende Fraktionsvorsitzende; seit 2016 Mitglied im Ausschuss für Schule, Kultur, Sport und Freizeit des Kreistages des Hochtaunuskreises, seit 2021 stellvertretende Vorsitzende des Ausschusses; 2017 bis 2019 Mitglied des Landesvorstandes der FDP Hessen (Beisitzerin); seit 2020 Mitglied des Kreisvorstandes FDP Hochtaunuskreis (Beisitzerin). [Anmerkung der Redaktion: Die biografischen Angaben beruhen auf den Selbstauskünften der Abgeordneten.]";https://www.instagram.com/katj_ad;https://facebook.com/katjadler;http://www.katja-adler.eu/;;;https://twitter.com/katjadler
Aeffner, Stephanie;Bündnis 90/Die Grünen;https://www.bundestag.de/abgeordnete/biografien/A/aeffner_stephanie-860154;Baden-Württemberg;279;Pforzheim;Diplom-Sozialarbeiterin (FH);"Geboren am 29. April 1976 in Donaueschingen; evangelisch; ledig.

    


    
    

        Ausbildung: Abitur 1995 Friedrich-Dessauer-Gymnasium Frankfurt; vier Jahre Medizinstudium (ohne Abschluss); Studium der Sozialen Arbeit, Dipl.-Sozialarbeiterin (FH); Zusatzausbildung Qualitätsmanagerin im Sozial und Gesundheitswesen;Berufliches: ambulante Krankenpflege (Aushilfstätigkeit); Qualitätsmanagerin in einem Krankenhaus; Beraterin in der „Selbstbestimmt-Leben-Bewegung“; Lehraufträge für Sozialarbeit und Sonderpädagogik; 2016-2021 Beauftragte der Landesregierung Baden-Württemberg für die Belange von Menschen mit Behinderungen (Landes-Behindertenbeauftragte); Seit 2021 Mitglied des Deutschen BundestagesPolitisches Ehrenamt: Langjährig bei den Grünen aktiv in Orts-, Kreis- und Landesverband u.a. im Vorstand. Parteipolitische Ämter 2016 wegen Berufung zur Landes-Behindertenbeauftragten aus Neutralitätsgründen niedergelegt. Aktiv in verschiedenen Landesarbeitsgemeinschaften der Grünen: LAG Wirtschaft, Finanzen und Soziales, LAG Behindertenpolitik, LAG Bildung und in der Bundesarbeitsgemeinschaft (BAG) Behindertenpolitik. [Anmerkung der Redaktion: Die biografischen Angaben beruhen auf den Selbstauskünften der Abgeordneten.]";https://www.instagram.com/stephanie_aeffner/;https://www.facebook.com/people/Stephanie-Aeffner/100084209227731/;https://aeffnerstephanie.de/;;;https://twitter.com/s_aeffner
Ahmetović, Adis;SPD;https://www.bundestag.de/abgeordnete/biografien/A/ahmetovic_adis-861876;Niedersachsen;41;Stadt Hannover I;Angestellter;"Geboren am 27. Juli 1993 in Hannover; ledig.

    


    
    

        Oktober 2015 bis Juli 2019 Master Lehramt an Gymnasien: Politik-Wirtschaft und Germanistik; Abschluss: Master of Education; Januar 2011 bis Dezember 2016 Stipendiat der Friedrich-Ebert-Stiftung; Oktober 2011 bis Dezember 2015 Fächerübergreifender Bachelor: Politikwissenschaft und Germanistik; Abschluss: Bachelor of Arts; Juli 2004 bis Juli 2011 Herschelschule Hannover – Ganztagsgymnasium mit Musikzweig; Abschluss nach Klasse 12: Allgemeine Hochschulreife.Seit Januar 2020 Referent für Regierungsplanung und Grundsatzfragen (Vollzeit) im Referat 106 der Niedersächsischen Staatskanzlei; Juli 2018 Januar 2020 Persönlicher Referent (Vollzeit) des Niedersächsischen Ministerpräsidenten; Januar 2016 bis Juli 2017 Büroleiter (Vollzeit) des SPD-Landesvorsitzenden Stephan Weil; Juli 2013 bis September 2013 Studentischer Mitarbeiter bei der Bundestagsabgeordneten Kerstin Tack.seit November 2020 Vizepräsident des DRK Region Hannover e. V.; seit Januar 2020 Vorsitzender der SPD Hannover; seit 2017 Vorsitzender des Integrationsbeirates Bothfeld-Vahrenheide; seit November 2016 Bezirksratsherr im Stadtbezirk Bothfeld-Vahrenheide.Mitgliedschaften: Vorsitzender der SPD Hannover; DRK: Vize-Präsident in der Region Hannover; GEW, AWO, ASB, FES-Ehemalige e. V., SPATS e. V., Mach' meinen Kumpel nicht an! – für Gleichbehandlung, gegen Rassismus e.V..[Anmerkung der Redaktion: Die biografischen Angaben beruhen auf den Selbstauskünften der Abgeordneten.]";http://www.instagram.de/adis.a93;http://www.facebook.de/AdisAhmetovic.SPD;http://www.adis-ahmetovic.de/;;;
Akbulut, Gökay;Gruppe Die Linke;https://www.bundestag.de/abgeordnete/biografien/A/akbulut_goekay-857082;Baden-Württemberg;275;Mannheim;Sozialwissenschaftlerin;"Geboren 1982 in Pinarbaşi/ Türkei; ledig.Seit 1990 in Deutschland. 2003 Abitur; Studium der Politischen Wissenschaft, Soziologie und Öffentliches Recht an der Ruprecht-Karls-Universität Heidelberg; Abschluss Magister (M.A.).Berufsberaterin für Schülerinnen und Schüler mit Migrationshintergrund, freiberufliche Dozentin; 2016 bis 2017 Referentin für Migration und Bildung bei der Rosa-Luxemburg-Stiftung.Mitglied der LINKEN seit 2006, Mitglied im Kreis- und Landesvorstand Baden-Württemberg und in der LAG Migration und Antirassismus, Frauenpolitik und Bildung. 2014 bis 2018 Stadträtin in Mannheim; Integrations- und Migrationspolitische Sprecherin der Fraktion DIE LINKE.Seit 2017 Mitglied des Bundestages.Mitglied bei der GEW, RLS, attac, Eine Welt Forum, mehr Demokratie e. V.[Anmerkung der Redaktion: Die biografischen Angaben beruhen auf den Selbstauskünften der Abgeordneten.Gökay Akbulut war durch Auflösung der Bundestagsfraktion Die Linke seit 6. Dezember 2023 fraktionslos, seit 2. Februar 2024 ist sie Mitglied der Gruppe Die Linke.]";https://www.instagram.com/gokayakbulut_mdb_linke/?hl=de;https://www.facebook.com/gokay.akbulut.146;https://goekay-akbulut.de/;;;https://twitter.com/akbulutgokay?lang=de
Al-Dailami, Ali;Gruppe BSW;https://www.bundestag.de/abgeordnete/biografien/A/al_dailami_ali-860114;Hessen;173;Gießen;Restaurantfachmann;"Geboren am 27. Dezember 1981 in Sana'a, Jemen.

    


    
    

        [Anmerkung der Redaktion: Die biografischen Angaben beruhen auf den Selbstauskünften der Abgeordneten.Ali Al-Dailami war durch Auflösung der Bundestagsfraktion Die Linke seit 6. Dezember 2023 fraktionslos, seit 2. Februar 2024 ist er Mitglied der Gruppe BSW.]";https://www.instagram.com/alialdailami.mdb/;https://www.facebook.com/Ali-Al-Dailami-107144855027252/;https://ali-al-dailami.de/;;;
Al-Halak, Muhanad;FDP;https://www.bundestag.de/abgeordnete/biografien/A/al_halak_muhanad-860118;Bayern;227;Deggendorf;Abwassermeister;"Geboren am 31. Juli 1989 in Dyala, Irak; ledig.

    


    
    

        2001 bis 2006 Propst-Seyberer-Mittelschule; 2006 Qualifizierender Hauptschulabschluss; 2006 bis September 2021 im öffentlichen Dienst bei der Stadt Grafenau; 2006 bis 2009 Ausbildung als „Fachkraft für Abwassertechnik“ bei der Stadt Grafenau; 2010 bis 2012 Meisterschule bei der BVS Lauingen (Abwassermeister); 2012 bis Dezember 2020 Stellvertretender Betriebsleiter der Abwasserbeseitigung; Dezember 2020 bis September 2021 Betriebsleiter der Abwasserbeseitigung; seit Januar 2017 Mitglied bei der FDP; 2017 bis Juli 2020 Stellvertretender Kreisvorsitzender Freyung-Grafenau; seit Juli 2020 Kreisvorsitzender Freyung-Grafenau; seit März 2020 Stadtrat Grafenau, Kreisrat Freyung-Grafenau; seit September 2020 Beirat Bezirksvorstand Niederbayern.[Anmerkung der Redaktion: Die biografischen Angaben beruhen auf den Selbstauskünften der Abgeordneten.]";https://www.instagram.com/al_halak_m/;https://www.facebook.com/AlHalakMuhanad/;https://muhanad-al-halak.wahl.freie-demokraten.de/;https://vm.tiktok.com/ZMdyN661S/;;https://mobile.twitter.com/halakmuhanad
Alabali-Radovan, Reem;SPD;https://www.bundestag.de/abgeordnete/biografien/A/alabali_radovan_reem-860830;Mecklenburg-Vorpommern;12;Schwerin – Ludwigslust-Parchim I – Nordwestmecklenburg I;Politikwissenschaftlerin;"Geboren am 1.Mai 1990 in Moskau, Russland; verheiratet.2008 Abitur am Gymnasium Fridericianum in Schwerin; 2008 bis 2013 Studium der Politikwissenschaft an der Freien Universität Berlin (Abschluss Bachelor).2012 bis 2014 Wissenschaftliche Mitarbeiterin am Deutschen Orient-Institut in Berlin; 2012 bis 2014 Tätigkeit beim Nah- und Mittelost-Verein (NUMOV) in Berlin zunächst als Assistentin der Länderreferate, ab 2013 als Länderreferentin; 2015 bis 2018 Sachbearbeiterin beim Landesamt für innere Verwaltung Mecklenburg-Vorpommern; 2018 bis 2020 Leiterin des Büros der Integrationsbeauftragten der Landesregierung Mecklenburg-Vorpommern beim Ministerium für Soziales, Integration und Gleichstellung; 2020 bis 2021 Integrationsbeauftragte der Landesregierung Mecklenburg-Vorpommern.Mitgliedschaften: Sozialdemokratische Partei Deutschlands (SPD), BC Traktor Schwerin e.V., Skatepark Lankow e. V. [Anmerkung der Redaktion: Die biografischen Angaben beruhen auf den Selbstauskünften der Abgeordneten.]";https://www.instagram.com/reem.alabaliradovan/;https://www.facebook.com/reem.alabaliradovan;https://reem-alabali-radovan.spd.de/;;;https://twitter.com/ReemAlabali
